country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800,84800
Argentina,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000,1740000
Armenia,,,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
Australia,5230000,5230000,5230000,5230000,5230000,5230000,5230000,5230000,5230000,5230000,5230000,5230000,5230000,5230000,5230000,5230000,5190000,5160000,5120000,5080000,5040000,5040000,5040000,5040000,5040000,5040000
Austria,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000
Bangladesh,436000,436000,436000,436000,436000,436000,436000,436000,436000,436000,436000,436000,436000,436000,436000,436000,436000,436000,436000,436000,436000,431000,426000,421000,416000,411000
Belarus,,,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000
Belize,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000
Bhutan,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000
Bolivia,40800000,40600000,40500000,40300000,40100000,39900000,39700000,39600000,39400000,39200000,39000000,38900000,38700000,38500000,38300000,38200000,38000000,37800000,37600000,37400000,37200000,37000000,36800000,36600000,36400000,36200000
Bosnia and Herzegovina,,,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Brazil,218000000,217000000,217000000,216000000,215000000,214000000,214000000,213000000,212000000,211000000,210000000,210000000,209000000,208000000,207000000,207000000,206000000,205000000,204000000,203000000,203000000,203000000,203000000,203000000,203000000,203000000
Brunei,313000,311000,308000,306000,303000,301000,298000,296000,293000,291000,288000,285000,283000,280000,278000,275000,273000,270000,268000,265000,263000,263000,263000,263000,263000,263000
